policy,density,noise,episode,reached,path_len,path_eff,straightness,astar_len
EGO,0.0,0.0,0,1,28,1.0,nan,28
EGO,0.0,0.0,1,1,28,1.0,nan,28
EGO,0.0,0.0,2,0,500,0.056,nan,28
EGO,0.0,0.0,3,0,500,0.056,nan,28
EGO,0.0,0.0,4,0,500,0.056,nan,28
EGO,0.0,0.0,5,1,28,1.0,nan,28
EGO,0.0,0.0,6,1,28,1.0,nan,28
EGO,0.0,0.0,7,1,28,1.0,nan,28
EGO,0.0,0.0,8,1,28,1.0,nan,28
EGO,0.0,0.0,9,0,500,0.056,nan,28
EGO,0.0,0.0,10,1,28,1.0,nan,28
EGO,0.0,0.0,11,1,28,1.0,nan,28
EGO,0.0,0.0,12,1,28,1.0,nan,28
EGO,0.0,0.0,13,0,500,0.056,nan,28
EGO,0.0,0.0,14,0,500,0.056,nan,28
EGO,0.0,0.0,15,0,500,0.056,nan,28
EGO,0.0,0.0,16,1,28,1.0,nan,28
EGO,0.0,0.0,17,1,28,1.0,nan,28
EGO,0.0,0.0,18,1,28,1.0,nan,28
EGO,0.0,0.0,19,1,28,1.0,nan,28
EGO,0.0,0.0,20,0,500,0.056,nan,28
EGO,0.0,0.0,21,1,28,1.0,nan,28
EGO,0.0,0.0,22,1,28,1.0,nan,28
EGO,0.0,0.0,23,1,28,1.0,nan,28
EGO,0.0,0.0,24,1,28,1.0,nan,28
EGO,0.0,0.0,25,1,28,1.0,nan,28
EGO,0.0,0.0,26,1,28,1.0,nan,28
EGO,0.0,0.0,27,1,28,1.0,nan,28
EGO,0.0,0.0,28,1,28,1.0,nan,28
EGO,0.0,0.0,29,1,28,1.0,nan,28
GEO,0.0,0.0,0,1,185,0.15135135135135136,1.0,28
GEO,0.0,0.0,1,1,271,0.1033210332103321,1.0,28
GEO,0.0,0.0,2,1,97,0.28865979381443296,1.0,28
GEO,0.0,0.0,3,1,98,0.2857142857142857,1.0,28
GEO,0.0,0.0,4,1,144,0.19444444444444445,1.0,28
GEO,0.0,0.0,5,0,500,0.056,nan,28
GEO,0.0,0.0,6,1,183,0.15300546448087432,1.0,28
GEO,0.0,0.0,7,1,175,0.16,1.0,28
GEO,0.0,0.0,8,1,196,0.14285714285714285,1.0,28
GEO,0.0,0.0,9,1,144,0.19444444444444445,1.0,28
GEO,0.0,0.0,10,1,89,0.3146067415730337,1.0,28
GEO,0.0,0.0,11,1,255,0.10980392156862745,1.0,28
GEO,0.0,0.0,12,1,108,0.25925925925925924,1.0,28
GEO,0.0,0.0,13,1,313,0.08945686900958466,1.0,28
GEO,0.0,0.0,14,1,149,0.18791946308724833,1.0,28
GEO,0.0,0.0,15,1,212,0.1320754716981132,1.0,28
GEO,0.0,0.0,16,1,341,0.08211143695014662,1.0,28
GEO,0.0,0.0,17,1,346,0.08092485549132948,1.0,28
GEO,0.0,0.0,18,1,443,0.06320541760722348,1.0,28
GEO,0.0,0.0,19,1,112,0.25,1.0,28
GEO,0.0,0.0,20,1,169,0.16568047337278108,1.0,28
GEO,0.0,0.0,21,1,211,0.13270142180094788,1.0,28
GEO,0.0,0.0,22,1,156,0.1794871794871795,1.0,28
GEO,0.0,0.0,23,1,162,0.1728395061728395,1.0,28
GEO,0.0,0.0,24,1,265,0.10566037735849057,1.0,28
GEO,0.0,0.0,25,1,157,0.17834394904458598,1.0,28
GEO,0.0,0.0,26,1,107,0.2616822429906542,1.0,28
GEO,0.0,0.0,27,1,152,0.18421052631578946,1.0,28
GEO,0.0,0.0,28,1,188,0.14893617021276595,1.0,28
GEO,0.0,0.0,29,1,209,0.1339712918660287,1.0,28
HYB,0.0,0.0,0,1,87,0.3218390804597701,1.0,28
HYB,0.0,0.0,1,1,79,0.35443037974683544,1.0,28
HYB,0.0,0.0,2,0,500,0.056,nan,28
HYB,0.0,0.0,3,1,205,0.13658536585365855,1.0,28
HYB,0.0,0.0,4,1,259,0.10810810810810811,1.0,28
HYB,0.0,0.0,5,1,257,0.10894941634241245,1.0,28
HYB,0.0,0.0,6,1,119,0.23529411764705882,1.0,28
HYB,0.0,0.0,7,1,84,0.3333333333333333,1.0,28
HYB,0.0,0.0,8,1,200,0.14,1.0,28
HYB,0.0,0.0,9,1,217,0.12903225806451613,1.0,28
HYB,0.0,0.0,10,1,194,0.14432989690721648,1.0,28
HYB,0.0,0.0,11,1,310,0.09032258064516129,1.0,28
HYB,0.0,0.0,12,1,118,0.23728813559322035,1.0,28
HYB,0.0,0.0,13,1,232,0.1206896551724138,1.0,28
HYB,0.0,0.0,14,1,166,0.1686746987951807,1.0,28
HYB,0.0,0.0,15,1,172,0.16279069767441862,1.0,28
HYB,0.0,0.0,16,1,197,0.14213197969543148,1.0,28
HYB,0.0,0.0,17,1,190,0.14736842105263157,1.0,28
HYB,0.0,0.0,18,1,235,0.11914893617021277,1.0,28
HYB,0.0,0.0,19,1,141,0.19858156028368795,1.0,28
HYB,0.0,0.0,20,1,184,0.15217391304347827,1.0,28
HYB,0.0,0.0,21,1,141,0.19858156028368795,1.0,28
HYB,0.0,0.0,22,1,145,0.19310344827586207,1.0,28
HYB,0.0,0.0,23,1,88,0.3181818181818182,1.0,28
HYB,0.0,0.0,24,1,120,0.23333333333333334,1.0,28
HYB,0.0,0.0,25,1,259,0.10810810810810811,1.0,28
HYB,0.0,0.0,26,1,151,0.18543046357615894,1.0,28
HYB,0.0,0.0,27,1,354,0.07909604519774012,1.0,28
HYB,0.0,0.0,28,1,351,0.07977207977207977,1.0,28
HYB,0.0,0.0,29,1,141,0.19858156028368795,1.0,28
